name,race,level,political_party,company_ownership_info,companyId,state,value,company_has_won_tenders_2024,company_is_political_donor,company_is_political_donor_2024,official_is_political_donor,official_is_political_donor_2024
JUSIĆ NEDŽAD,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,TUZLA,NEDŽAD JUSIĆ - NEZAVISNI KANDIDAT,NEL&FAR D.O.O.,4236760360005.0,Bosna i Hercegovina,1000.0,,,,True,
JUSUFOVIĆ AZRA,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,LUKAVAC,SDA - STRANKA DEMOKRATSKE AKCIJE,SUVLASNIŠTVO,,Bosna i Hercegovina,20000.0,,,,,
KAPIĆ DŽENAN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,CAZIN,DEMOKRATSKA FRONTA - DF,FISCATEC DOO,4263813120009.0,BIH,100000.0,,,,,
KARAJIĆ ASKO,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,VELIKA KLADUŠA,SDP - SOCIJALDEMOKRATSKA PARTIJA BOSNE I HERCEGOVINE,VLASNIK,,Bosna i Hercegovina,500000.0,,,,,
KARGIĆ MUAMER,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,TRAVNIK,SDA - STRANKA DEMOKRATSKE AKCIJE,FIRMA ZA OBRADU METALA-OPREMA+STALNA SREDSTVA,,BiH,305834.0,,,,True,
KATURA ANA,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,GRUDE,HDZ BIH-HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,TECTON 25 DOO,4272437540009.0,BIH,1200.0,,,,,
KELAVA IVICA,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,TOMISLAVGRAD,HRVATSKA STRANKA PRAVA-PRAVAŠI,OBRT,,BIH,37500.0,,,,,
KOLJIBABIĆ DUŠAN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,LJUBINJE,SRPSKA DEMOKRATSKA STRANKA - VOLJA NARODA,"""KOKA PRODUKT""",4254031420004.0,BiH,1324334.0,,,,,
KONJIĆ OMER,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,DOBOJ - ISTOK,SDA - STRANKA DEMOKRATSKE AKCIJE,PRIVREDNI SUBJEKT,,BiH,2000.0,,,,True,
KOVAČIĆ OSTOJA,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,ŠIPOVO,SPS - SOCIJALISTIČKA PARTIJA SRPSKE - GORAN SELAK,1,,BiH,0.0,,,,,
KRAJNOVIĆ ALDEN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,BRCKO DISTRIKT BIH,NAROD I PRAVDA (NIP),"DOO KRAJNOVIĆ, SUVLASNIŠTVO 1/2",4272437540009.0,BiH,,,,,,
KRAJNOVIĆ ALDEN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,BRCKO DISTRIKT BIH,NAROD I PRAVDA (NIP),DOO LASER BRČKO,4600104630008.0,BiH,,,,,,
KRALJEVIĆ MIROSLAV,NACELNIK/GRADONACELNIK,VLASENICA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SUVLASNIK ECOPLAST 50%,4403381870008.0,Bosna i Hercegovina,800000.0,,,,,
KRIŽANOVIĆ JOSIP,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,BUSOVAČA,HDZ 1990 - HRVATSKA DEMOKRATSKA ZAJEDNICA 1990,CREATIVE D.O.O,4236341980001.0,BiH,50000.0,,,,,
KRUŠKO MERZUDIN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,TEŠANJ,SDA - STRANKA DEMOKRATSKE AKCIJE,SUVLASNIK  H&M CONSTRUCTION D.O.O.,4219168890008.0,Bosna i Hercegovina,20000.0,,,,,
KUBAT IVICA,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,KISELJAK,HDZ BIH-HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,KUBAT D.O.O. KISELJAK,4236114220009.0,Bosna i Hercegovina,600000.0,True,,,,
KUBAT IVICA,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,KISELJAK,HDZ BIH-HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,KOLOR D.O.O. KISELJAK,4236114220009.0,BiH,,True,,,,
KUBURIĆ SAMIR,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,SANSKI MOST,NES-ZAJEDNO,FARMA KUBURIĆ,4364327560006.0,BiH,500000.0,,,,,
KUĆANOVIĆ AVDO,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,OLOVO,SDA - STRANKA DEMOKRATSKE AKCIJE,"D.O.O""KRASKO PROMET "" OLOVO  V LASNISTVO 1/1",4218212500003.0,Bosna i Hercegovina,400000.0,True,,,,
KUJRAKOVIĆ HUSEIN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,GRADAČAC,NAROD I PRAVDA (NIP),MLEŠIĆ DOO,,HRVATSKA,20000.0,,,,,
KULJIĆ RADENKO,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,BILEĆA,"GRAĐANSKI POKRET ""BILEĆA ISPRED SVEGA""","""FARADEJEV KAVEZ"" S.P. RADENKO KULJIĆ",4511134460007.0,,40000.0,,,,,
KUŠIĆ DANKA,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,ROGATICA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,"KOMBI ""FIAT DUKATO"" (`04)",,BiH,5000.0,,,,,
LAKETA BILJANA,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,NEVESINJE,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,EURO TRANS D.O.O. NEVESINJE,4403417570006.0,,200000.0,,,,,
LJALJIĆ AZRA,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,ČELIĆ,SBIH - STRANKA ZA BOSNU I HERCEGOVINU,FRIZERSKI SALON,,Bosna i Hercegovina,5000.0,,,,,
LUCIĆ IVAN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,DOMALJEVAC - ŠAMAC,HRVATSKA STRANKA PRAVA HB I BOSNE I HERCEGOVINE,OSNIVAČ TVRTKE- LUCIĆ D.O.O.,4254025370003.0,Bosna i Hercegovina,249300.0,,,,,
LUČIĆ VLADIMIR,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,PALE,PDP - PARTIJA DEMOKRATSKOG PROGRESA,WINNER DOO,4401821010003.0,BiH,1000000.0,,,,,
MALINIĆ MILAN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,KOSTAJNICA,NARODNA PARTIJA SRPSKE-DARKO BANJAC,ПОЉОПРИВРЕДНА АПОТЕКА,,БИХ,50000.0,,,,,
MANDIĆ ŽELJKO,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,ŠIPOVO,SPS - SOCIJALISTIČKA PARTIJA SRPSKE - GORAN SELAK,"""M.ŽELJO"" DOO",4401325200005.0,BiH,2000000.0,True,,,,
MARIĆ ALEN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,ILIDŽA,SDA - STRANKA DEMOKRATSKE AKCIJE,OD. KOVAČKI ATELJE & METAL ART STUDIO ALEN M.,,Bosna i Hercegovina,30000.0,,,,,
MARIĆ DRAGO,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,KNEŽEVO,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,DOO MARIĆ KOMPANI,4401791190001.0,BIH,1500000.0,True,,,,
MARIJANAC ZORAN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,ŠIPOVO,NARODNI FRONT - JELENA TRIVIĆ,"""ZOKA TREJD"" DOO",4401338790006.0,BiH,2000000.0,,,,,
MARIJANOVIĆ NIKOLA,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,NOVI TRAVNIK,"HDZ BIH, HSS STJEPANA RADIĆA",VFNT D.O.O FOJNICA,4236667150009.0,BIH,10000.0,True,,,,
MASLAĆ VIDOJE,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,STOLAC,VIDOJE MASLAĆ - NEOVISNI KANDIDAT,VW TIGUAN,,BIH,20000.0,,,,True,True
MASTIKOSA DRAGO,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,OŠTRA LUKA,DEMOKRATSKI SAVEZ-DEMOS,DA,,"BIH, RS",50000.0,,,,,
MASTILOVIĆ MILUTIN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,TREBINJE,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SOLAR 1 D.O.O. BILEĆA (SUVLASNIK),4403718340006.0,BIH (RS),420000.0,,,,,
MATUŠKO ANDRIJA,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,NEUM,HDZ BIH-HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,MONTEH D.O.O. ,4228088690007.0,Bosna i Hercegovina,40000.0,True,,,,
MEDIĆ VLADIMIR,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,ŠIPOVO,SRPSKA DEMOKRATSKA STRANKA - VOLJA NARODA,MEDEKS-PROM,4401309260006.0,BIH                               ,,True,,,,
MEDIĆ VLADIMIR,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,ŠIPOVO,SRPSKA DEMOKRATSKA STRANKA - VOLJA NARODA,MEDIĆ TRANS,4402806260008.0,BiH,,,,,,
MEDIĆ VLADIMIR,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,ŠIPOVO,SRPSKA DEMOKRATSKA STRANKA - VOLJA NARODA,PEAK FOREST,4281266200009.0,BiH,,,,,,
